DATE,MONTH,YEAR,MNTHYR,ADDRESS,CITYCTY,STATE,LAT,LNG,KILLED,INJURED
2/14/18,2,2018,22018,5901 Pine Island Rd,Pompano Beach (Parkland),Florida,26.304503,-80.269457,17,15
2/13/18,2,2018,22018,5400 block of Andry Street,New Orleans,Louisiana,29.966522,-90.016939,2,3
2/11/18,2,2018,22018,19432 Lamont Street,Detroit,Michigan,42.437777,-83.054826,4,3
2/10/18,2,2018,22018,413 Mill Street,Paintsville,Kentucky,37.816211,-82.81064,5,0
2/7/18,2,2018,22018,I-95 and Lantana Ave,Lake Worth (Lantana),Florida,26.586736,-80.052203,3,3
2/5/18,2,2018,22018,4225 Galley Rd,Colorado Springs,Colorado,38.846947,-104.750064,2,4
2/3/18,2,2018,22018,11321 Broadway Ave,Cleveland (Garfield Heights),Ohio,41.433603,-81.605021,1,5
1/31/18,1,2018,12018,Goodfellow Blvd and Dr Martin Luther King Dr,Saint Louis,Missouri,38.672076,-90.279378,0,4
1/28/18,1,2018,12018,1301 Indian Creek Valley Rd,Melcroft,Pennsylvania,40.052085,-79.3889,5,0
1/28/18,1,2018,12018,123 S 3rd St,Reading,Pennsylvania,40.333062,-75.931649,4,0
1/28/18,1,2018,12018,1313 N Sherman Dr,Indianapolis,Indiana,39.785144,-86.10183,2,3
1/27/18,1,2018,12018,243 East 119th St,Los Angeles,California,33.924875,-118.270226,0,5
1/27/18,1,2018,12018,645 Pearl Street,Bowling Green,Kentucky,37.010503,-86.45095,0,4
1/25/18,1,2018,12018,1600 block of Kenilworth Ave NE,Washington,District of Columbia,38.911252,-76.935294,0,4
1/23/18,1,2018,12018,N 24th St and Ridge Ave,Philadelphia,Pennsylvania,39.981663,-75.1739,0,4
1/23/18,1,2018,12018,416 High School Road,Benton,Kentucky,36.912803,-88.332763,2,14
1/21/18,1,2018,12018,3101 Willow Bend Blvd,Orlando,Florida,28.582257,-81.444161,0,4
1/21/18,1,2018,12018,3200 W Division St,Chicago,Illinois,41.902834,-87.706924,0,4
1/17/18,1,2018,12018,2000 block of 16th St SE,Washington,District of Columbia,38.865328,-76.982177,1,3
1/16/18,1,2018,12018,3042 Farrier Lane,York,South Carolina,35.033686,-81.14493,1,4
1/15/18,1,2018,12018,14223 NW 156th Pl,Alachua,Florida,29.798494,-82.49713,0,5
1/14/18,1,2018,12018,809 Mesopotamia St,Eutaw,Alabama,32.850841,-87.902266,1,4
1/14/18,1,2018,12018,101 Westchester Dr,Madison,Alabama,34.674132,-86.759736,0,4
1/12/18,1,2018,12018,2614 Jenkins Ct,Nashville,Tennessee,36.182004,-86.820445,3,2
1/11/18,1,2018,12018,St Robert Outer Road and Houston Road,Saint Robert (St Robert),Missouri,37.824968,-92.137833,2,2
1/7/18,1,2018,12018,U.S. Highway 29,Union Springs,Alabama,32.144313,-85.713448,1,5
1/7/18,1,2018,12018,5225 W Broward Blvd,Plantation,Florida,26.121905,-80.218838,0,4
1/5/18,1,2018,12018,6168 US 49,Hattiesburg,Mississippi,31.326894,-89.328508,0,6
1/4/18,1,2018,12018,615 W 6th St,Brinkley,Arkansas,34.903732,-91.198862,1,3
1/1/18,1,2018,12018,2025 Sparkman Dr NW,Huntsville,Alabama,34.762808,-86.594557,1,3
12/31/17,12,2017,122017,3404 E County Line Rd,Littleton (Highlands Ranch),Colorado,39.565952,-104.949177,2,6
12/31/17,12,2017,122017,2335 Howard St,Chicago,Illinois,42.01917,-87.707149,0,4
12/31/17,12,2017,122017,635 Wall St,Long Branch,New Jersey,40.292538,-74.002995,4,0
12/27/17,12,2017,122017,3750 E Bonanza Rd,Las Vegas,Nevada,36.175356,-115.094234,2,2
12/26/17,12,2017,122017,NW 18th Ave and 86th Ter,Miami,Florida,25.853254,-80.227666,0,5
12/24/17,12,2017,122017,1111 Mulberry Street,Vicksburg,Mississippi,32.351466,-90.882664,0,5
12/24/17,12,2017,122017,100 block of Chapman St,Troy,Alabama,31.809006,-85.960044,1,4
12/23/17,12,2017,122017,100 block of City Avenue,Eunice,Louisiana,30.484408,-92.404166,1,3
12/23/17,12,2017,122017,3rd Ave N and 9th St N,Birmingham,Alabama,33.509112,-86.822006,0,4
12/21/17,12,2017,122017,1500 block of N University Avenue,Lafayette,Louisiana,30.249328,-92.034816,0,4
12/21/17,12,2017,122017,6600 block of Dorel St,Philadelphia,Pennsylvania,39.918133,-75.228007,1,3
12/16/17,12,2017,122017,Ferguson Rd,Mc Cool (Mccool),Mississippi,0,0,0,4
12/15/17,12,2017,122017,13041 Jouett Street,Pacoima,California,34.265919,-118.4172,0,5
12/13/17,12,2017,122017,200 block of E Barthman Ave,Columbus,Ohio,39.924093,-82.989998,1,3
12/12/17,12,2017,122017,17th and Gallagher Streets,Louisville,Kentucky,38.238934,-85.783612,0,4
12/12/17,12,2017,122017,1301 Rivercrest Ln,Garland,Texas,32.924382,-96.605978,0,4
12/9/17,12,2017,122017,Proctor St,Boston,Massachusetts,42.326951,-71.069132,0,4
12/6/17,12,2017,122017,4620 N Broadway,Chicago,Illinois,41.965597,-87.657712,0,4
12/4/17,12,2017,122017,7200 block of Everton St,Pittsburgh,Pennsylvania,40.463235,-79.893468,2,2
12/3/17,12,2017,122017,656 Marshall Ave,Memphis,Tennessee,35.140236,-90.038888,1,3
12/2/17,12,2017,122017,5200 Woodward Avenue,Detroit,Michigan,42.359442,-83.064366,0,4
11/30/17,11,2017,112017,11000 block of Gunston,Detroit,Michigan,42.4081,-82.993599,1,4
11/24/17,11,2017,112017,11618 Buckeye Rd,Cleveland,Ohio,41.480715,-81.602178,1,5
11/24/17,11,2017,112017,119 Martin Street,Brookhaven,Mississippi,31.573887,-90.444191,1,6
